,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9920634920634921,0.9960159362549801,126.0
Apple___Black_rot,1.0,1.0,1.0,125.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,55.0
Apple___healthy,1.0,1.0,1.0,329.0
Background_without_leaves,0.9913419913419913,1.0,0.9956521739130435,229.0
Blueberry___healthy,1.0,1.0,1.0,301.0
Cherry___Powdery_mildew,1.0,1.0,1.0,211.0
Cherry___healthy,1.0,0.9941520467836257,0.9970674486803519,171.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.8512396694214877,1.0,0.9196428571428571,103.0
Corn___Common_rust,1.0,0.9832635983263598,0.9915611814345991,239.0
Corn___Northern_Leaf_Blight,1.0,0.9289340101522843,0.9631578947368421,197.0
Corn___healthy,1.0,1.0,1.0,233.0
Grape___Black_rot,1.0,0.9957627118644068,0.9978768577494692,236.0
Grape___Esca_(Black_Measles),0.9964028776978417,1.0,0.9981981981981982,277.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,216.0
Grape___healthy,1.0,1.0,1.0,85.0
Orange___Haunglongbing_(Citrus_greening),0.9990917347865577,0.9981851179673321,0.9986382206082615,1102.0
Peach___Bacterial_spot,1.0,0.991304347826087,0.9956331877729258,460.0
Peach___healthy,0.9863013698630136,1.0,0.993103448275862,72.0
"Pepper,_bell___Bacterial_spot",0.9900990099009901,1.0,0.9950248756218906,200.0
"Pepper,_bell___healthy",0.9932885906040269,1.0,0.9966329966329966,296.0
Potato___Early_blight,1.0,1.0,1.0,200.0
Potato___Late_blight,1.0,0.99,0.9949748743718593,200.0
Potato___healthy,0.96875,1.0,0.9841269841269841,31.0
Raspberry___healthy,1.0,1.0,1.0,75.0
Soybean___healthy,0.9990157480314961,0.9970530451866405,0.9980334316617503,1018.0
Squash___Powdery_mildew,1.0,0.9945504087193461,0.9972677595628415,367.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,222.0
Strawberry___healthy,1.0,1.0,1.0,92.0
Tomato___Bacterial_spot,0.9837587006960556,0.9953051643192489,0.9894982497082847,426.0
Tomato___Early_blight,0.8468085106382979,0.995,0.9149425287356322,200.0
Tomato___Late_blight,0.989247311827957,0.9633507853403142,0.9761273209549072,382.0
Tomato___Leaf_Mold,0.9896373056994818,1.0,0.9947916666666666,191.0
Tomato___Septoria_leaf_spot,0.9941348973607038,0.9549295774647887,0.9741379310344828,355.0
Tomato___Spider_mites Two-spotted_spider_mite,0.993920972644377,0.9732142857142857,0.9834586466165414,336.0
Tomato___Target_Spot,0.9748201438848921,0.9644128113879004,0.9695885509838998,281.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9971910112359551,0.9934701492537313,0.9953271028037384,1072.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,75.0
Tomato___healthy,0.996875,1.0,0.9984350547730829,319.0
accuracy,0.9916253939666817,0.9916253939666817,0.9916253939666817,0.9916253939666817
macro avg,0.9882544832214134,0.9924346551889703,0.9899721892057166,11105.0
weighted avg,0.9923387382016414,0.9916253939666817,0.9917656240044235,11105.0
