,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9206349206349206,0.9586776859504132,126.0
Apple___Black_rot,0.9689922480620154,1.0,0.984251968503937,125.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,55.0
Apple___healthy,0.9761904761904762,0.9969604863221885,0.9864661654135338,329.0
Background_without_leaves,0.9912280701754386,0.9868995633187773,0.9890590809628009,229.0
Blueberry___healthy,0.9966887417218543,1.0,0.9983416252072969,301.0
Cherry___Powdery_mildew,1.0,1.0,1.0,211.0
Cherry___healthy,0.9941860465116279,1.0,0.9970845481049563,171.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9285714285714286,0.883495145631068,0.9054726368159204,103.0
Corn___Common_rust,1.0,0.99581589958159,0.9979035639412998,239.0
Corn___Northern_Leaf_Blight,0.9408866995073891,0.9695431472081218,0.955,197.0
Corn___healthy,1.0,1.0,1.0,233.0
Grape___Black_rot,1.0,1.0,1.0,236.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,277.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,216.0
Grape___healthy,1.0,1.0,1.0,85.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9990925589836661,0.9995460735360872,1102.0
Peach___Bacterial_spot,0.9978308026030369,1.0,0.998914223669924,460.0
Peach___healthy,0.9473684210526315,1.0,0.972972972972973,72.0
"Pepper,_bell___Bacterial_spot",0.9900990099009901,1.0,0.9950248756218906,200.0
"Pepper,_bell___healthy",0.9966101694915255,0.9932432432432432,0.9949238578680203,296.0
Potato___Early_blight,0.9950248756218906,1.0,0.9975062344139651,200.0
Potato___Late_blight,0.9949748743718593,0.99,0.9924812030075187,200.0
Potato___healthy,1.0,1.0,1.0,31.0
Raspberry___healthy,1.0,1.0,1.0,75.0
Soybean___healthy,1.0,0.9980353634577603,0.9990167158308751,1018.0
Squash___Powdery_mildew,1.0,1.0,1.0,367.0
Strawberry___Leaf_scorch,0.9910714285714286,1.0,0.9955156950672646,222.0
Strawberry___healthy,1.0,1.0,1.0,92.0
Tomato___Bacterial_spot,0.9279475982532751,0.9976525821596244,0.9615384615384616,426.0
Tomato___Early_blight,0.9894179894179894,0.935,0.961439588688946,200.0
Tomato___Late_blight,0.9742268041237113,0.9895287958115183,0.9818181818181818,382.0
Tomato___Leaf_Mold,1.0,1.0,1.0,191.0
Tomato___Septoria_leaf_spot,0.988795518207283,0.9943661971830986,0.9915730337078652,355.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9881656804733728,0.9940476190476191,0.9910979228486647,336.0
Tomato___Target_Spot,0.9820143884892086,0.9715302491103203,0.9767441860465116,281.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9673507462686567,0.9834044570886676,1072.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,75.0
Tomato___healthy,1.0,1.0,1.0,319.0
accuracy,0.9905447996398019,0.9905447996398019,0.9905447996398019,0.9905447996398019
macro avg,0.9887254172132933,0.9893127312297995,0.9888660245801532,11105.0
weighted avg,0.9908033802241794,0.9905447996398019,0.9905424916171346,11105.0
